player_name,team_1,team_2,gp_1,gp_2,usg_1,usg_2,per_1,per_2,ws_per_48_1,ws_per_48_2
Nerlens Noel,PHI,DAL,29,22,17.8,17.3,20.8,19.8,0.184,0.178
Justin Anderson,DAL,PHI,51,24,23.6,17.2,14.7,12.8,0.067,0.084
Taj Gibson,CHI,OKC,55,23,19.2,19.5,15.4,13.8,0.104,0.076
Doug McDermott,CHI,OKC,44,22,17.6,13.6,11.3,9.3,0.084,0.08
Joffrey Lauvergne,OKC,CHI,50,20,17.8,20.7,12.9,11.6,0.091,0.025
Anthony Morrow,OKC,CHI,40,9,16.3,17,9.2,16,0.069,0.19
Cameron Payne,OKC,CHI,20,11,19.6,23.9,6.1,4,-0.012,-0.086
Tyler Ennis,HOU,LAL,31,22,19.3,19,4,14.3,-0.061,0.077
K.J. McDaniels,HOU,BKN,29,20,16.4,19.3,10.2,12.5,0.058,0.046
P.J. Tucker,PHX,TOR,57,24,11.3,10.9,10.6,10.4,0.069,0.099
Roy Hibbert,CHA,DEN,42,6,14,15.5,13.5,16.3,0.129,0.119
Lou Williams,LAL,HOU,58,23,30.6,25.3,23.9,15.4,0.169,0.096
Corey Brewer,HOU,LAL,58,24,12.9,18,7.5,13.3,0.045,0.047
Ersan Ilyasova,PHI,ATL,53,26,23.6,19.9,15.4,13.5,0.088,0.106
Bojan Bogdonavic,BKN,WAS,55,26,22.5,22.2,13,14.7,0.052,0.103
Andrew Nicholson,WAS,BKN,28,10,17.6,15.8,6.3,5,-0.014,-0.03
Buddy Hield,NOP,SAC,57,25,20.4,22.9,9.9,14.9,0.02,0.053
Tyreke Evans,NOP,SAC,26,14,27.2,26,15.8,14.9,0.053,0.034
Langston Galloway,NOP,SAC,55,19,19.5,15.4,11.2,8,0.052,0.007
DeMarcus Cousins,SAC,NOP,55,17,37.5,33.1,26.5,23.2,0.153,0.136
Serge Ibaka,ORL,TOR,56,23,20.8,20.9,17.5,13.8,0.108,0.085
Terrence Ross,TOR,ORL,54,24,19.8,18.5,14.9,11.1,0.116,0.037
Jusuf Nurkic,DEN,POR,45,20,22.6,25.7,15,21.1,0.034,0.116
Mason Plumlee,POR,DEN,54,27,18.3,17.5,18.9,16.3,0.147,0.107
Spencer Hawes,CHA,MIL,35,19,19.6,20.3,14.8,18.6,0.086,0.16
Miles Plumlee,MIL,CHA,32,13,15.5,8.7,8,9,0.021,0.087
Kyle Korver,ATL,CLE,32,35,14.5,15.8,10.8,13.5,0.088,0.114
Mike Dunleavy,CLE,ATL,23,30,13.7,14.3,7.6,11.9,0.041,0.12